Sala: 101 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Introdução À Física Nuclear E De Partículas , Administração , Radiobiologia , Física Aplicada À Biologia , Promoção Da Saúde I 
16:50:00 - 17:40:00 , , , Controle Digital De Processos , Metodologia Científica E Filosofia Da Ciência , , Química Geral B , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Anatomia Vegetal , , Biofísica , , Educação Em Saúde 
19:35:00 - 20:20:00 , , , Anatomia Vegetal , , Biofísica , , Educação Em Saúde 
20:30:00 - 21:15:00 , , , Anatomia Vegetal , , Bioestatística , Anatomia Vegetal , Educação Em Saúde 
21:15:00 - 22:00:00 , , , Seminários De Pesquisas Em Museologia , , Bioestatística , Anatomia Vegetal , Educação Em Saúde 
Sala: 208 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Química Fundamental , Ecologia Comportamental , Bioestatística , Farmacobotânica , 
08:50:00 - 09:40:00 , , , Química Fundamental , Ecologia Comportamental , Biologia Da Conservação , Operações Unitárias 1 , 
10:00:00 - 10:50:00 , , , , Física 3 , Química Inorgânica , Educação Em Saúde , 
10:50:00 - 11:40:00 , , , , Física 3 , Ecofisiologia Vegetal , Física 3 , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Morfologia E Sistemática De Espermatófitas , Farmacobotânica , , Biologia Da Conservação , 
14:50:00 - 15:40:00 , , , Morfologia E Sistemática De Espermatófitas , Bioquímica I , , Biologia Da Conservação , 
16:00:00 - 16:50:00 , , , Morfologia E Sistemática De Espermatófitas , , , , 
16:50:00 - 17:40:00 , , , Bioquímica I , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , História Dos Museus , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 209 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Probabilidade E Estatística , Cálculo 1a , Álgebra Linear , Ecofisiologia Vegetal , 
08:50:00 - 09:40:00 , , , Probabilidade E Estatística , Cálculo 1a , Bioestatística , Farmacobotânica , 
10:00:00 - 10:50:00 , , , , Mecânica Clássica Ii , Ecofisiologia Vegetal , Química Inorgânica , 
10:50:00 - 11:40:00 , , , , Mecânica Clássica Ii , Química Fundamental , Paleobiologia , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Introdução À Computação , Bioquímica I , , Cálculo 3a , 
14:50:00 - 15:40:00 , , , Introdução À Computação , Química Geral B , , Cálculo 3a , 
16:00:00 - 16:50:00 , , , Química Fundamental , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 301 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Fisiologia Humana E Biofísica , Fisiologia Humana E Biofísica , Imunologia , , 
08:50:00 - 09:40:00 , , , Fisiologia Humana E Biofísica , Fisiologia Humana E Biofísica , Álgebra Linear , , 
10:00:00 - 10:50:00 , , , , Morfologia E Taxonomia Vegetal , Química Fundamental , Física 3 , 
10:50:00 - 11:40:00 , , , , Morfologia E Taxonomia Vegetal , Mecânica Clássica Ii , Mecânica Clássica Ii , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Mecânica Clássica Ii , Química Geral B , , Educação Em Saúde , 
14:50:00 - 15:40:00 , , , Mecânica Clássica Ii , Biologia Molecular , , Educação Em Saúde , 
16:00:00 - 16:50:00 , , , Bioquímica I , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 302 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , Imunologia , , 
10:00:00 - 10:50:00 , , , , Mídias Institucionais , Mecânica Clássica Ii , Paleobiologia , 
10:50:00 - 11:40:00 , , , , Mídias Institucionais , Políticas Educacionais No Brasil , Química Inorgânica , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Introdução À Computação , Biologia Molecular , , , 
14:50:00 - 15:40:00 , , , Bioquímica I , Farmacobotânica , , , 
16:00:00 - 16:50:00 , , , Anatomia Humana , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 303 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , Rp Especializada I , Políticas Educacionais No Brasil , Mecânica Clássica Ii , 
10:50:00 - 11:40:00 , , , , Ecologia Comportamental , Operações Unitárias 1 , Circuitos Elétricos 1 , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Farmacobotânica , Administração , , , 
14:50:00 - 15:40:00 , , , Introdução À Computação , Administração , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 304 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Metodologia Científica E Filosofia Da Ciência , Farmacobotânica , Cálculo 3a , Química Fundamental , Álgebra Linear 
08:50:00 - 09:40:00 , , , Metodologia Científica E Filosofia Da Ciência , Farmacobotânica , Cálculo 3a , Química Fundamental , Álgebra Linear 
10:00:00 - 10:50:00 , , , Rp Especializada I , Cálculo 1a , Probabilidade E Estatística , Cálculo 1a , Probabilidade E Estatística 
10:50:00 - 11:40:00 , , , Rp Especializada I , Química Geral B , Probabilidade E Estatística , Cálculo 1a , Probabilidade E Estatística 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Introdução À Computação , , Física I , , 
14:50:00 - 15:40:00 , , , Introdução À Computação , , Física I , , 
16:00:00 - 16:50:00 , , , , , Introdução À Computação , , 
16:50:00 - 17:40:00 , , , , , Farmacologia I , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Estágio I , Estágio I , Estágio I , Estágio I , 
19:35:00 - 20:20:00 , , , Estágio I , Estágio I , Estágio I , Estágio I , 
20:30:00 - 21:15:00 , , , , , Psicologia Da Educação Ii , , 
21:15:00 - 22:00:00 , , , , , Psicologia Da Educação Ii , , 
Sala: 305 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Cálculo 3a , Probabilidade E Estatística , Química Fundamental , Cálculo 1a , Química Fundamental 
08:50:00 - 09:40:00 , , , Cálculo 3a , Probabilidade E Estatística , Química Fundamental , Cálculo 1a , Química Fundamental 
10:00:00 - 10:50:00 , , , Metodologia Científica E Filosofia Da Ciência , Química Geral B , Introdução À Computação , Teoria Política I , Morfologia E Taxonomia Vegetal 
10:50:00 - 11:40:00 , , , Probabilidade E Estatística , Probabilidade E Estatística , Introdução À Computação , , Morfologia E Taxonomia Vegetal 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Química Fundamental , , Probabilidade E Estatística , , 
14:50:00 - 15:40:00 , , , Química Fundamental , , Probabilidade E Estatística , , 
16:00:00 - 16:50:00 , , , , , Farmacologia I , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Mecânica Clássica I , , Mecânica Clássica I , , 
19:35:00 - 20:20:00 , , , Mecânica Clássica I , , Mecânica Clássica I , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 307 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , Administração Da Produção E Operações , Políticas Educacionais No Brasil , Administração Da Produção E Operações , Introdução À Computação 
08:50:00 - 09:40:00 , , , , Administração Da Produção E Operações , Políticas Educacionais No Brasil , Administração Da Produção E Operações , Introdução À Computação 
10:00:00 - 10:50:00 , , , Química Geral B , Fisiologia Humana , Química Geral B , Administração , 
10:50:00 - 11:40:00 , , , Paleobiologia , Fisiologia Humana , Química Geral B , Administração , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Físico-Química 4 , Operações Unitárias 1 , Cálculo 3a , Administração Da Produção E Operações , 
14:50:00 - 15:40:00 , , , Gestão Da Produção E Da Qualidade , Operações Unitárias 1 , Cálculo 3a , Administração Da Produção E Operações , 
16:00:00 - 16:50:00 , , , Biologia Molecular , Metodologia Científica E Filosofia Da Ciência , , Química Geral B , 
16:50:00 - 17:40:00 , , , Biologia Molecular , , , Fisiologia , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Seminários De Pesquisas Em Museologia , , Bioestatística , , Bioestatística 
19:35:00 - 20:20:00 , , , Seminários De Pesquisas Em Museologia , , Bioestatística , , Bioestatística 
20:30:00 - 21:15:00 , , , Seminários De Pesquisas Em Museologia , , , , Bioestatística 
21:15:00 - 22:00:00 , , , , , , , Bioestatística 
Sala: 308 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Operações Unitárias 1 , Operações Unitárias 1 , Promoção Da Saúde I , Corpo Humano Saudável I , Tópicos Em Genética 
08:50:00 - 09:40:00 , , , Operações Unitárias 1 , Operações Unitárias 1 , Promoção Da Saúde I , Corpo Humano Saudável I , Tópicos Em Genética 
10:00:00 - 10:50:00 , , , Física 3 , Tópicos Em Fisiologia , Promoção Da Saúde I , Corpo Humano Saudável I , Metodologia Científica E Filosofia Da Ciência 
10:50:00 - 11:40:00 , , , Física 3 , Corpo Humano Saudável I , Promoção Da Saúde I , Corpo Humano Saudável I , Metodologia Científica E Filosofia Da Ciência 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Biologia Molecular , Cálculo 3a , Cálculo 3a , Tópicos Em Genética , 
14:50:00 - 15:40:00 , , , Físico-Química 4 , Cálculo 3a , Cálculo 3a , Tópicos Em Genética , 
16:00:00 - 16:50:00 , , , Morfologia E Taxonomia Vegetal , Tópicos Em Fisiologia , Administração Da Produção E Operações , Estágio I , 
16:50:00 - 17:40:00 , , , Morfologia E Taxonomia Vegetal , Tópicos Em Fisiologia , Administração Da Produção E Operações , Estágio I , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , Anatomia Vegetal , , , 
19:35:00 - 20:20:00 , , , , Anatomia Vegetal , , , 
20:30:00 - 21:15:00 , , , , , , Estágio I , 
21:15:00 - 22:00:00 , , , , , , Estágio I , 
Sala: 310 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , Ecologia Comportamental , Operações Unitárias 1 , Imunologia , 
10:50:00 - 11:40:00 , , , , Tópicos Em Fisiologia , Corpo Humano Saudável I , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , Metodologia Científica E Filosofia Da Ciência , , , 
14:50:00 - 15:40:00 , , , , Farmacobotânica , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 101 , Prédio: CAB , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Introdução Aos Métodos Instrumentais De Análise , Visualização De Informações , Laboratório De Relações Internacionais Ii , Visualização De Informações , Filosofia Da Linguagem 
08:50:00 - 09:40:00 , , , Introdução Aos Métodos Instrumentais De Análise , Visualização De Informações , Laboratório De Relações Internacionais Ii , Visualização De Informações , Filosofia Da Linguagem 
10:00:00 - 10:50:00 , , , Tópicos Em Contabilidade I , Tópicos Em Contabilidade I , Cálculo 1b , Tópicos Em Contabilidade I , Filosofia Da Linguagem 
10:50:00 - 11:40:00 , , , Tópicos Em Contabilidade I , Tópicos Em Contabilidade I , Cálculo 1b , Tópicos Em Contabilidade I , Filosofia Da Linguagem 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , História Da Matemática , Didática Da Matemática I , Introdução À Computação , Filosofia Da Linguagem , Introdução À Computação 
14:50:00 - 15:40:00 , , , História Da Matemática , Didática Da Matemática I , Introdução À Computação , Filosofia Da Linguagem , Introdução À Computação 
16:00:00 - 16:50:00 , , , Cálculo De Funções De Várias Variáveis , Engenharia Bioquímica , Cálculo De Funções De Várias Variáveis , Filosofia Da Linguagem , Física I 
16:50:00 - 17:40:00 , , , Cálculo De Funções De Várias Variáveis , Engenharia Bioquímica , Cálculo De Funções De Várias Variáveis , Filosofia Da Linguagem , Física I 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Marketing Ii , Linguagem De Programação Java , Marketing Ii , Sistemas De Apoio À Decisão , Filosofia Da Linguagem 
19:35:00 - 20:20:00 , , , Marketing Ii , Linguagem De Programação Java , Marketing Ii , Sistemas De Apoio À Decisão , Filosofia Da Linguagem 
20:30:00 - 21:15:00 , , , Marketing Ii , Linguagem De Programação Java , Marketing Ii , Tópicos Em Contabilidade I , Filosofia Da Linguagem 
21:15:00 - 22:00:00 , , , Marketing Ii , Linguagem De Programação Java , Marketing Ii , Tópicos Em Contabilidade I , Filosofia Da Linguagem 
Sala: 102 , Prédio: CAB , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Morfologia E Taxonomia Vegetal , Princípios De Economia , Introdução Aos Métodos Instrumentais De Análise , Estatística Econômica E Introdução À Econometria , Princípios De Economia 
08:50:00 - 09:40:00 , , , Morfologia E Taxonomia Vegetal , Princípios De Economia , Introdução Aos Métodos Instrumentais De Análise , Estatística Econômica E Introdução À Econometria , Princípios De Economia 
10:00:00 - 10:50:00 , , , Morfologia E Taxonomia Vegetal , Tópicos Em Contabilidade I , Biossegurança , Física Iii , Princípios De Economia 
10:50:00 - 11:40:00 , , , Morfologia E Taxonomia Vegetal , Tópicos Em Contabilidade I , Biossegurança , Física Iii , Princípios De Economia 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Geometria Analítica , Introdução À Computação , Ecofisiologia Vegetal , Didática Da Matemática I , História Da Matemática 
14:50:00 - 15:40:00 , , , Geometria Analítica , Introdução À Computação , Ecofisiologia Vegetal , Didática Da Matemática I , História Da Matemática 
16:00:00 - 16:50:00 , , , Morfologia E Taxonomia Vegetal , Geometria Analítica , Física I , Engenharia Bioquímica , Morfologia E Taxonomia Vegetal 
16:50:00 - 17:40:00 , , , Morfologia E Taxonomia Vegetal , Geometria Analítica , Física I , Engenharia Bioquímica , Morfologia E Taxonomia Vegetal 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Marketing Ii , Sistemas De Apoio À Decisão , Tópicos Em Contabilidade I , Princípios De Economia , Tópicos Em Contabilidade I 
19:35:00 - 20:20:00 , , , Marketing Ii , Sistemas De Apoio À Decisão , Tópicos Em Contabilidade I , Princípios De Economia , Tópicos Em Contabilidade I 
20:30:00 - 21:15:00 , , , Marketing Ii , Marketing Ii , Cálculo 1b , Princípios De Economia , Marketing Ii 
21:15:00 - 22:00:00 , , , Marketing Ii , Marketing Ii , Cálculo 1b , Princípios De Economia , Marketing Ii 
Sala: 103 , Prédio: CAB , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Tópicos Em Contabilidade I , Direito Empresarial , Química Geral Teórica , Cálculo 1a , Ecofisiologia Vegetal 
08:50:00 - 09:40:00 , , , Tópicos Em Contabilidade I , Direito Empresarial , Química Geral Teórica , Cálculo 1a , Ecofisiologia Vegetal 
10:00:00 - 10:50:00 , , , Introdução À Teoria Da Contabilidade , Física Iii , Biossegurança , Cálculo 1a , Ecofisiologia Vegetal 
10:50:00 - 11:40:00 , , , Introdução À Teoria Da Contabilidade , Física Iii , Biossegurança , Cálculo 1a , Ecofisiologia Vegetal 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Morfologia E Taxonomia Vegetal , Geometria Analítica , História Da Matemática , Geometria Analítica , Geometria Analítica 
14:50:00 - 15:40:00 , , , Morfologia E Taxonomia Vegetal , Geometria Analítica , História Da Matemática , Geometria Analítica , Geometria Analítica 
16:00:00 - 16:50:00 , , , Introdução À Computação , Física Iii , Ecofisiologia Vegetal , Geometria Analítica , Geometria Analítica 
16:50:00 - 17:40:00 , , , Introdução À Computação , Física Iii , Ecofisiologia Vegetal , Geometria Analítica , Geometria Analítica 
17:40:00 - 18:30:00 , , , , , , , 
